Date,Season,Air Asia,Air India,Akasa Air,Alliance Air,GoAir,Indigo,Spicejet,Vistara
2021-07-29,Monsoon,100.0,99.0,,,100.0,99.8,90.3,98.7
2021-07-30,Monsoon,90.6,92.9,,,100.0,94.4,85.9,99.0
2021-08-03,Monsoon,96.8,91.2,,,100.0,97.3,97.6,95.5
2021-08-04,Monsoon,93.8,87.4,,,100.0,95.1,97.2,97.1
2021-08-05,Monsoon,94.9,95.2,,,100.0,98.9,100.0,100.0
2021-08-06,Monsoon,91.6,88.9,,,95.0,94.5,84.9,92.7
2021-08-07,Monsoon,98.4,90.7,,,96.0,95.8,92.4,98.1
2021-08-09,Monsoon,97.3,95.5,,,100.0,98.5,96.6,99.1
2021-08-10,Monsoon,92.2,93.7,,,98.0,98.9,92.8,93.6
2021-08-12,Monsoon,100.0,98.0,,,100.0,99.6,96.2,98.0
2021-08-13,Monsoon,100.0,85.5,,,99.0,87.1,89.2,94.6
2021-08-14,Monsoon,100.0,97.3,,,98.0,97.9,94.8,95.5
2021-08-15,Monsoon,100.0,96.1,,,100.0,98.5,83.1,100.0
2021-08-16,Monsoon,99.0,91.5,,,100.0,99.4,91.6,98.3
2021-08-17,Monsoon,100.0,98.2,,,100.0,99.0,93.8,99.1
2021-08-18,Monsoon,96.8,91.3,,,97.0,99.0,91.0,96.7
2021-08-19,Monsoon,100.0,96.3,,,97.0,98.8,93.3,97.4
2021-08-20,Monsoon,87.5,90.4,,,100.0,94.8,82.9,92.4
2021-08-21,Monsoon,96.7,91.1,,,91.0,94.7,80.0,95.7
2021-08-22,Monsoon,93.4,89.6,,,94.0,99.1,86.5,93.2
2021-08-26,Monsoon,98.3,95.6,,,99.0,98.3,88.3,98.3
2021-08-27,Monsoon,95.2,93.0,,,90.0,96.7,86.4,96.7
2021-08-28,Monsoon,96.7,95.3,,,99.0,98.2,88.0,96.6
2021-08-29,Monsoon,100.0,96.2,,,98.0,99.0,89.2,98.2
2021-09-17,Monsoon,93.7,90.4,,,95.0,98.4,82.7,94.7
2021-09-24,Monsoon,97.3,90.9,,,96.0,95.8,94.4,97.7
2021-09-26,Monsoon,90.7,94.2,,,87.0,94.4,91.6,95.4
2021-09-27,Monsoon,87.7,92.6,,,96.0,95.5,82.4,97.7
2021-09-29,Monsoon,97.1,91.4,,,94.0,96.8,90.0,97.7
2021-10-01,Other,90.4,83.4,,,98.0,91.3,75.5,88.6
2021-10-02,Other,91.5,85.8,,,69.0,94.6,89.0,91.0
2021-10-03,Other,85.9,83.8,,,87.0,91.8,83.5,93.3
2021-10-04,Other,94.1,88.8,,,90.0,97.2,89.0,97.7
2021-10-07,Other,91.4,86.9,,,91.0,93.0,88.0,95.5
2021-10-09,Other,81.6,70.1,,,87.0,86.4,86.0,93.3
2021-10-15,Other,88.7,88.7,,,88.0,93.9,86.4,98.3
2021-10-18,Other,76.2,84.8,,,89.0,87.4,70.4,87.4
2021-10-26,Other,93.9,87.5,,,88.0,93.5,88.1,95.4
2021-10-27,Other,83.3,81.9,,,70.0,92.1,86.2,92.6
2021-11-05,Other,100.0,88.4,,,82.0,94.5,70.7,97.0
